"Name","Function","Details","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Score","NumOfReviews","Indoor/Outdoors","Longitude","Latitude","Image"
"쟁반노래방","노래방",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",,,,127.065841,37.5413467,"쟁반노래방.jpg"
"삼바노래방","노래방",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",,,,127.0549302,37.5505426,"삼바노래방.jpg"
"쌍둥이노래방","노래방",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",,,,127.0639174,37.541595,"쌍둥이노래방.jpg"
"NEW쟁반노래방","노래방",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",3.7,3,,127.0631845,37.5620182,"NEW쟁반노래방.jpg"
"악어떼노래방","노래방",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",,,,127.0654632,37.540911,"악어떼노래방.jpg"
"초밥짓는원숭이","일본 음식점",,"AM11:30–PM3:30","AM11:30–PM3:30","AM11:30–PM3:30","AM11:30–PM3:30","AM11:30–PM3:30","AM11:30–PM3:30","AM11:30–PM3:30",3.2,21,,127.0695066,37.5431033,"초밥짓는원숭이.jpg"
"와하카","음식점",,,,,,,,,4.2,73,,127.0368305,37.5478922,"와하카.jpg"
"카페오롯","카페",,"AM10–PM11","AM10–PM11","AM10–PM11","AM10–PM11","AM10–PM11","AM10–PM11","AM10–PM11",4.2,34,,127.0484837,37.54845,"카페오롯.jpg"
"카페우유니","카페",,"AM10–PM11","AM10–PM11","AM10–PM11","AM10–PM11","AM10–PM11","AM10–PM11","Closed",4.5,26,,127.0299956,37.5610174,"카페우유니.jpg"
"오르에르(OrEr)","카페",,"AM11–PM11","AM11–PM11","AM11–PM11","AM11–PM11","AM11–PM11","AM11–PM11","AM11–PM11",4,124,,127.0337885,37.543431,"오르에르(OrEr).jpg"
"카페나루","카페",,"AM8–PM8","AM8:00–PM8:00","AM8:00–PM8:00","AM8:00–PM8:00","AM8:00–PM8:00","AM8:00–PM6:00","Closed",4.1,15,,127.072134,37.5505389,"카페나루.jpg"
"타로카페드뷔시산장","카페",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",4.4,18,,127.0229545,37.558454,"타로카페드뷔시산장.jpg"
"카페보니또 성수점","카페",,"AM8–PM12","AM8–PM12","AM8–PM12","AM8–PM12","AM8–PM12","AM8–PM12","AM8–PM12",4,12,,127.0384367,37.5413172,"카페보니또 성수점.jpg"
"카페시벳","카페",,,,,,,,,4.5,18,,127.0220009,37.5616654,"카페시벳.jpg"
"에잇디 카페","카페",,,,,,,,,4.5,4,,127.0188619,37.5244898,"에잇디 카페.jpg"
"담쟁이북카페","카페",,,,,,,,,4.8,5,,127.072134,37.5505389,"담쟁이북카페.jpg"
"MILD","카페",,"AM12–PM8:30","AM12–PM8:30","AM12–PM8:30","AM12–PM8:30","AM12–PM8:30","AM11–PM9:30","AM11–PM9:30",4.4,19,,127.0459459,37.5354365,"MILD.jpg"
"카페 마리","커피숍/커피 전문점",,"AM7–PM9","AM7–PM9","AM7–PM9","AM7–PM9","AM7–PM9","AM12–PM9","AM7–PM9",4.4,5,,127.0131429,37.5250603,"카페 마리.jpg"
"카페 레지던스","카페",,"AM12–PM9","AM12–PM9","AM12–PM9","AM12–PM9","AM12–PM9","AM12–PM9","AM12–PM9",3.5,2,,127.072134,37.5505389,"카페 레지던스.jpg"
"원풀키즈카페","카페",,"AM10–PM10","AM10–PM10","AM10–PM10","AM10–PM10","AM10–PM10","AM10–PM10","AM10–PM10",3.3,8,,127.072134,37.5505389,"원풀키즈카페.jpg"
"카페 피아트","카페",,"AM9–PM11","AM9–PM11","AM9–PM11","AM9–PM11","AM9–PM11","AM9–PM11","AM9–PM11",3.9,18,,127.072134,37.5505389,"카페 피아트.jpg"
"Camel Café","카페",,"AM11:30–PM10","AM11:30–PM10","AM11:30–PM10","AM11:30–PM10","AM11:30–PM10","AM11:30–PM10","AM11:30–PM10",3.9,55,,127.0383868,37.5371956,"Camel Café.jpg"
"카페드유라","커피용품 판매점",,"AM9–PM6","AM9–PM6","AM9–PM6","AM9–PM6","AM9–PM6","AM9–PM4","Closed",5,1,,127.0285199,37.5273389,"카페드유라.jpg"
"소코 바 BAR SOKO","칵테일바",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Closed",4.4,26,,127.0051026,37.534872,"소코 바 BAR SOKO.jpg"
"더블유바","와인 바",,,,,,,,,4.3,4,,127.019475,37.5504806,"더블유바.jpg"
"불러노래방","노래방",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",5,1,,127.0873258,37.5560008,"불러노래방.jpg"
"엘리스노래방","노래방",,,,,,,,,2,1,,127.072134,37.5505389,"엘리스노래방.jpg"
"NBA노래방","노래방",,,,,,,,,2.3,3,,127.072134,37.5505389,"NBA노래방.jpg"
"성수문화복지회관","사회 복지 센터",,,,,,,,,4.4,13,,127.0425457,37.5454251,"성수문화복지회관.jpg"
"한국문화센터","문화센터",,,,,,,,,,,,127.0630416,37.5388782,"한국문화센터.jpg"
"메가박스 군자","영화관",,,,,,,,,4,1,,127.0739777,37.5557163,"메가박스 군자.jpg"
"가람성","중국 음식점",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",3.8,21,,127.0752829,37.5452336,"가람성.jpg"
"빕스 어린이대공원점","패밀리 레스토랑",,"AM11:30–PM10:00","AM11:30–PM10:00","AM11:30–PM10:00","AM11:30–PM10:00","AM11:30–PM10:00","AM11:30–PM10:00","AM11:30–PM10:00",3.7,382,,127.0751642,37.5516355,"빕스 어린이대공원점.jpg"
"하남돼지집 세종대점","한식 고기구이 레스토랑",,"PM00:00–PM12:00","PM00:00–PM12:00","PM00:00–PM12:00","PM00:00–PM12:00","PM00:00–PM12:00","PM00:00–PM12:00","PM00:00–PM12:00",4.2,38,,127.0714333,37.5469414,"하남돼지집 세종대점.jpg"
"카페 어드벤처 스튜디오","카페",,,,,,,,,3,2,,127.0681101,37.5505436,"카페 어드벤처 스튜디오.jpg"
"언커먼그라운드","커피숍/커피 전문점",,"AM8:00–PM10:00","AM8:00–PM10:00","AM8:00–PM10:00","AM8:00–PM10:00","AM8:00–PM10:00","PM12:00–7:00","PM12:00–7:00",3.9,35,,127.0552083,37.543451,"언커먼그라운드.jpg"
"kingdombar Sm Bar","칵테일바",,"PM8:00–AM2:00","PM8:00–AM2:00","PM8:00–AM2:00","PM8:00–AM2:00","PM8:00–AM2:00","PM8:00–AM2:00","PM8:00–AM2:00",4.3,3,,127.0796402,37.5375863,"kingdombar Sm Bar.jpg"
"Bar Lupin","바 & 그릴",,,,,,,,,4,22,,127.036382,37.5263762,"Bar Lupin.jpg"
"바푸리 성수역점","음식점",,"AM7:30–PM9:30","AM7:30–PM9:30","AM7:30–PM9:30","AM7:30–PM9:30","AM7:30–PM9:30","AM7:30–PM9:30","Closed",4.2,6,,127.0530532,37.5459424,"바푸리 성수역점.jpg"
"레솔베르시가바","시가 전문점",,"Open 24 hours","Open 24 hours","PM12:00–AM3:00","Open 24 hours","Open 24 hours","Open 24 hours","PM12:00–PM00:00",4.6,40,,127.0366052,37.5246742,"레솔베르시가바.jpg"
"몽크투바흐","재즈바",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",4.5,35,,127.0228984,37.5211724,"몽크투바흐.jpg"
"부킹노래방","노래방",,,,,,,,,,,,127.0661451,37.5391509,"부킹노래방.jpg"
"국립현대미술관 서울관","미술관",,"AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10:00–PM9:00","AM10:00–PM9:00","AM10–PM6",4.4,"1,375",,126.9628596,37.5794091,"국립현대미술관 서울관.jpg"
"대림미술관","미술관",,"Closed","AM10–PM6","AM10–PM6","AM10:00–PM8:00","AM10–PM6","AM10:00–PM8:00","AM10–PM6",4.2,876,,126.9558315,37.577459,"대림미술관.jpg"
"삼성리움미술관","미술관",,"Closed","AM10:30–PM6:00","AM10:30–PM6:00","AM10:30–PM6:00","AM10:30–PM6:00","AM10:30–PM6:00","AM10:30–PM6:00",4.4,862,,126.9810695,37.538122,"삼성리움미술관.jpg"
"D Museum","미술관",,"Closed","AM10–PM6","AM10–PM6","AM10–PM6","AM10:00–PM8:00","AM10:00–PM8:00","AM10–PM6",4.1,"1,086",,126.9939275,37.5371914,"D Museum.jpg"
"소마미술관","미술관",,"Closed","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6",4,285,,127.1007442,37.5166362,"소마미술관.jpg"
"국립현대미술관 덕수궁관","현대미술관",,"Closed","AM10:00–PM7:00","AM10:00–PM9:00","AM10:00–PM7:00","AM10:00–PM7:00","AM10:00–PM9:00","AM10:00–PM7:00",4.4,259,,126.9561827,37.5658959,"국립현대미술관 덕수궁관.jpg"
"서울시립미술관 서소문본관","미술관",,"Closed","AM10:00–PM7:00","AM10:00–PM7:00","AM10:00–PM7:00","AM10:00–PM7:00","AM10–PM6","AM10–PM6",4.3,832,,126.9562698,37.5640253,"서울시립미술관 서소문본관.jpg"
"아르코미술관","미술관",,"Closed","AM11:00–PM6:00","AM11:00–PM6:00","AM11:00–PM6:00","AM11:00–PM6:00","AM11:00–PM6:00","AM11:00–PM6:00",4.4,44,,126.9856794,37.5804502,"아르코미술관.jpg"
"서울시립미술관 경희궁미술관","미술관",,"AM10:00–PM8:00","AM10:00–PM8:00","AM10:00–PM8:00","AM10:00–PM8:00","AM10:00–PM8:00","AM10:00–PM8:00","AM10:00–PM8:00",3,4,,126.9512047,37.5700964,"서울시립미술관 경희궁미술관.jpg"
"포스코미술관","미술관",,,,,,,,,3.9,61,,127.0386377,37.5058037,"포스코미술관.jpg"
"K현대미술관","미술관",,"Closed","AM10:00–PM8:00","AM10:00–PM8:00","AM10:00–PM8:00","AM10:00–PM8:00","AM10:00–PM8:00","AM10:00–PM6:30",3.9,151,,127.0215448,37.5242737,"K현대미술관.jpg"
"간송미술관","미술관",,"AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6",4,25,,126.9793463,37.5936152,"간송미술관.jpg"
"서울미술관","미술관",,"Closed","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6",4.1,798,,126.9457404,37.5948345,"서울미술관.jpg"
"국립현대미술관","미술관",,"Closed","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10:00–PM9:00","AM10–PM6",4.3,762,,127.0020942,37.4303743,"국립현대미술관.jpg"
"일민미술관","미술관",,"Closed","AM11:00–PM7:00","AM11:00–PM7:00","AM11:00–PM7:00","AM11:00–PM7:00","AM11:00–PM7:00","AM11:00–PM7:00",3.9,95,,126.9601545,37.569784,"일민미술관.jpg"
"국립현대미술관 창동레지던시","미술관",,"AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6",4,9,,127.0218964,37.6406935,"국립현대미술관 창동레지던시.jpg"
"한미사진미술관","미술관",,"AM10–PM7","AM10–PM7","AM10–PM7","AM10–PM7","AM10–PM7","AM10–PM7","Closed",4.2,22,,127.0964485,37.516571,"한미사진미술관.jpg"
"성곡미술관","미술관",,"Closed","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6","AM10–PM6",4.1,79,,126.9522548,37.5731157,"성곡미술관.jpg"
"성북구립미술관","미술관",,,,,,,,,,,,127.0324413,37.603604,"성북구립미술관.jpg"
"예술의전당 한가람미술관","미술관",,"AM11:00–PM8:00","AM11:00–PM8:00","AM11:00–PM8:00","AM11:00–PM8:00","AM11:00–PM8:00","AM11:00–PM8:00","AM11:00–PM8:00",4.3,"1,422",,126.9967367,37.4803793,"예술의전당 한가람미술관.jpg"
"에어텔24 여행사","여행사",,"PM00:00–PM11:30","PM00:00–PM11:30","PM00:00–PM11:30","PM00:00–PM11:30","PM00:00–PM11:30","PM00:00–PM11:30","PM00:00–PM11:30",5,1,,126.992038,37.5036322,"에어텔24 여행사.jpg"
"유강원(순명효황후의 릉)문화유적","역사적 명소",,,,,,,,,2,1,,127.0643031,37.549363,"유강원(순명효황후의 릉)문화유적.jpg"
"살곶이다리","역사적 명소",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",4,118,,127.0214313,37.5360063,"살곶이다리.jpg"
"아차산성","역사적 명소",,,,,,,,,4.2,86,,127.0854302,37.5544541,"아차산성.jpg"
"광화문","역사적 명소",,"AM8:00–PM5:00","AM8:00–PM5:00","AM8:00–PM5:00","AM8:00–PM5:00","AM8:00–PM5:00","AM8:00–PM5:00","AM8:00–PM5:00",4.5,"4,150",,126.9593062,37.5759369,"광화문.jpg"
"풍납토성","역사적 명소",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",3.8,30,,127.1034372,37.5390793,"풍납토성.jpg"
"장충단비","역사적 명소",,,,,,,,,,,,126.9866244,37.5575642,"장충단비.jpg"
"숭례문","역사적 명소",,"Closed","AM9:00–PM6:00","AM9:00–PM6:00","AM9:00–PM6:00","AM9:00–PM6:00","AM9:00–PM6:00","AM9:00–PM6:00",4.3,"2,661",,126.9577925,37.5599526,"숭례문.jpg"
"남한산성 북문","역사적 명소",,,,,,,,,4.1,276,,127.1672906,37.481568,"남한산성 북문.jpg"
"광평대군묘","역사적 명소",,,,,,,,,3.4,9,,127.0746175,37.486769,"광평대군묘.jpg"
"아차산4보루","역사적 명소",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",3,3,,127.0867368,37.5711395,"아차산4보루.jpg"
"서울문묘","역사적 명소",,,,,,,,,4.8,4,,126.9785776,37.5858494,"서울문묘.jpg"
"동대문","역사적 명소",,,,,,,,,4.1,"1,080",,126.9920357,37.5711389,"동대문.jpg"
"우정총국","역사적 명소",,"AM9:00–PM5:00","AM9:00–PM5:00","AM9:00–PM5:00","AM9:00–PM5:00","AM9:00–PM5:00","AM9:00–PM5:00","AM9:00–PM5:00",4,8,,126.9651532,37.5743555,"우정총국.jpg"
"압구정터","역사적 명소",,,,,,,,,,,,127.0214313,37.5360063,"압구정터.jpg"
"청풍김씨 대종회","역사적 명소",,,,,,,,,,,,127.0139346,37.5748283,"청풍김씨 대종회.jpg"
"동구릉 재실","역사적 명소",,,,,,,,,4.4,15,,127.11688,37.6186227,"동구릉 재실.jpg"
"광통교","역사적 명소",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",4.6,13,,126.963655,37.5691135,"광통교.jpg"
"월계동각심재","역사적 명소",,"Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",3,3,,127.0332285,37.633944,"월계동각심재.jpg"
"목릉","역사적 명소",,,,,,,,,4,10,,127.1156626,37.6256571,"목릉.jpg"
"서울어린이대공원놀이동산","테마파크",,"AM10–PM7","AM10–PM7","AM10–PM7","AM10–PM7","AM10–PM7","AM10–PM9","AM10–PM7",4.3,950,,127.0488321,37.5506984,"서울어린이대공원놀이동산.jpg"
"서울랜드","놀이공원",,"AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM10:00",4.2,"3,186",,126.9851078,37.4341563,"서울랜드.jpg"
"어린이대공원","테마파크",,"AM5:00–PM10:00","AM5:00–PM10:00","AM5:00–PM10:00","AM5:00–PM10:00","AM5:00–PM10:00","AM5:00–PM10:00","AM5:00–PM10:00",4.4,"3,034",,127.0458185,37.5482248,"어린이대공원.jpg"
"삼성에버랜드(주)","놀이공원",,,,,,,,,4.4,7,,126.9947057,37.4923535,"삼성에버랜드(주).jpg"
"롯데월드 매직아일랜드","놀이공원",,"AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM10:00",4.3,"2,709",,127.064939,37.5088728,"롯데월드 매직아일랜드.jpg"
"두리랜드","놀이공원",,"Closed","AM10:00–PM5:00","AM10:00–PM5:00","AM10:00–PM5:00","AM10:00–PM5:00","AM10:00–PM7:00","AM10:00–PM7:00",3.9,71,,126.91541,37.7246681,"두리랜드.jpg"
"문래공원관리사무소","놀이공원",,"AM9:00–PM6:00","AM9:00–PM6:00","AM9:00–PM6:00","AM9:00–PM6:00","AM9:00–PM6:00","Closed","Closed",,,,126.8602701,37.5176033,"문래공원관리사무소.jpg"
"국립공원관리공단빨래골","놀이공원",,,,,,,,,3,2,,126.9675451,37.6792182,"국립공원관리공단빨래골.jpg"
"Running Man Ep 1","놀이공원",,,,,,,,,5,2,,126.9550913,37.5782,"Running Man Ep 1.jpg"
"월미테마파크","놀이공원"," 중구 월미도에 위치한 놀이공원으로 1992년에 설립된 마이랜드에 이어서 2009년 11월 즈음에 개장한 놀이공원이다. 규모가 놀이공원에 비해 작고 주변에 울타리가 없어 기존의 건물들과 경계가 없는 편이지만 사람들이 많이 찾는 장소이다. 20가지가 넘는 놀이기구 시설들이 있다.","AM10:00–PM10:00","AM10:00–PM10:00","AM10:00–PM10:00","AM10:00–PM10:00","AM10:00–PM10:00","AM10:00–PM10:30","AM10:00–PM10:30",3.8,"1,113",,126.5612681,37.471318,"월미테마파크.jpg"
"원더존","놀이공원","부천시 원미구 춘의동에 위치한 원더존은 보다 이색적이고 신레포츠형 놀이동산으로 가족 나들이나, 단체 활동을 수용할 수 있는 넓은 잔디운동장과 안락한 휴식처들이 준비되어 있다. 20종이 넘는 놀이기구가 설치되어 있고, 3개의 박물관이 전시하고 있어 아이들과 시간을 보내기 좋은 장소이다.",,,,,,,,3,6,,126.7673075,37.5038035,"원더존.jpg"
"남한산성유원지관리사무실","놀이공원","성남시 중원구 은행2동에 위치해 있는 남한산성 인근에 위치한 시민공원이다. 계곡과 분수, 작은 연못으로 되어 있는 생태학습장이 있어, 아이들과 동행하기 용이하다. 공원로를 따라 산책을 할 수도 있으며, 양궁장과 같은 시설들로 여러 체험이 가능하다.",,,,,,,,4.3,16,,127.1442749,37.4729638,"남한산성유원지관리사무실.jpg"
"테지움 서울","테마파크","종로구 창신 1동에 위치한 테지움 서울은 테디베어 테마파크로 테디베어를 직접 만지고 안아보는 오픈형 이색체험전시 공간이다. 이곳에서 테디베어의 어원과 유래, 역사를 알 수 있다. 서울 테마 존에서는 옛 시절 서울부터 현재 서울까지를 테디베어로 소개하고 있다.","AM8:30–PM6:00","AM8:30–PM6:00","AM8:30–PM6:00","AM8:30–PM6:00","AM8:30–PM6:00","AM8:30–PM6:00","AM8:30–PM6:00",4.1,214,,126.9550913,37.5782,"테지움 서울.jpg"
"롯데월드 언더씨킹덤","놀이공원","은평구 진관동에 위치한 은평 롯데몰 3~4층에 오픈한 실내 키즈파크다. 바닷속 왕국을 테마로 하고 있으며 어린이 위주 어트랙션이 주를 이룬다.","AM10:00–PM9:00","AM10:00–PM9:00","AM10:00–PM9:00","AM10:00–PM9:00","AM10:00–PM9:00","AM10:00–PM9:00","AM10:00–PM9:00",3.8,103,,126.8830636,37.6376234,"롯데월드 언더씨킹덤.jpg"
"풍무동 중앙공원 공룡놀이터","놀이공원","김포시 풍무동에 위치한 중앙공원 내부의 공룡 놀이터로, 어린이들의 취향에 맞도록 공룡 형상을 띄는 놀이기구들이 있으며, 공룡 조형물도 있다.","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",1,1,,126.6909869,37.6036421,"풍무동 중앙공원 공룡놀이터.jpg"
"하니랜드","놀이공원","파주시 조리읍에 위치한 캠핑장으로 야외 어린이용 놀이공원과 식당가가 있어 아동과 시간을 보낼 수 있는 시설물들이 있다.","AM10:00–PM5:30","AM10:00–PM5:30","AM10:00–PM5:30","AM10:00–PM5:30","AM10:00–PM5:30","AM10:00–PM5:30","AM10:00–PM5:30",3.7,153,,126.7981818,37.749982,"하니랜드.jpg"
"물동네","놀이공원","남양주시 수동면에 위치한 캠핑장으로 야외수영장과 계곡변의 캠핑시설과 실내 숙박시설이 있어 숙식이 가능하다.","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",2.3,4,,127.2777366,37.719324,"물동네.jpg"
"롯데월드","테마파크","송파구 잠실동에 위치한 놀이공원으로 석촌호수 위에 있는 야외 매직아일렌드와 실내의 롯데월드 어드벤처로 이루어져 있다. 실내는 언더랜드인 지하 1층부터 지상 4층까지 시설물들이 자리잡고 있으며, 총 23가지의 놀이시설들이 자리해 있다. 야외의 매직아일렌드에는 17가지의 놀이기구가 있다. 잠실역으로도 입장이 가능하여 접근성이 뛰어나다는 장점이 있다.","AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM10:00","AM9:30–PM11:00","AM9:30–PM11:00","Closed",4.2,"13,355",,127.0631481,37.5111158,"롯데월드.jpg"
"에버랜드","놀이공원","용인시 포곡읍에 위치한 테마파크로 대한민국의 테마파크중 가장 크다. 넓은 부지를 바탕으로 글로벌 페어, 아메리칸 어드벤처, 매직랜드, 유러피언 어드벤처, 주토피아의 5개의 구역으로 구성되어 있으며 여러 놀이기구와 동물원, 식당과 상점들이 있다. 이색적인 공연과 퍼레이드, 전시시설들이 많으며, 시즌별로 바뀌기 때문에 여러 종류별로 운영되고 있다. 자체적으로 리조트를 운영함으로 숙박 및 모든 여가생활이 가능하다.","AM10:00–PM9:00","AM10:00–PM9:00","AM10:00–PM9:00","AM10:00–PM9:00","AM10:00–PM10:00","AM10:00–PM10:00","AM10:00–PM9:00",4.4,"16,677",,127.1675475,37.2939104,"에버랜드.jpg"
"일신놀이공원","놀이공원","부평구 일신동에 위치한 공원으로 시민들을 위한 산책로와 휴계시설등이 있다.
","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",5,1,,126.7073008,37.482593,"일신놀이공원.jpg"
"성삼공원","공원","성동구 성수1동에 위치한 공원으로 건물 사이에 있는 작은 공원이다.","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",3.9,7,,127.0590901,37.5420115,"성삼공원.jpg"
"서남환경공원","공원","강서구 방화동에 위치한 수목공원으로 시민들을 위하여 잡풀로 우거진 초지나 다름없던 곳을 새롭게 만든 공원이다. 평탄한 언덕길에 나무들을 많이 심어 산책하기에 좋고 산책로 끄트머리에 메타세쿼이아 나무가 숲을 이뤄 이곳의 메타세쿼이야 길이 인상적이다. 습지로를 따라 산책을 즐길수도 있으며 풋살장등의 편의시설도 있다.","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",,,,127.0802988,37.5519278,"환경공원.jpg"
"맨발공원","공원","광진구 능동에 위치한 어린이대공원 내의 맨발공원으로 음악분수 광장 세갈래길 중 정면으로가면 도착할 수 있다. 넓은 풀밭과 흙길, 지압을 할 수 있는 타일들이 이색적이다.","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",,,,127.0810532,37.5508016,"맨발공원.jpg"
"뚝섬유수지체육공원","공원","서울숲 공원 북쪽 끝에 자리잡고 있는 시민공원으로 성동구에서 시민들의 스포츠 활동 공간 확충과 체육활성화 토대를 마련하기 위해 뚝섬유원지에 체육공원을 만들었다. 서울숲과 붙어있기 때문에 한강변과 가깝다는 장점이 있다.","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",3.8,24,,127.0405181,37.5496009,"뚝섬체육공원.jpg"
"미나리공원","공원","동대문구 장안동에 위치한 공원으로 장한평역 4번출구에서 도보 15분 내외로 갈 수 있다.","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",3.6,5,,127.068102,37.563681,"미나리공원.jpg"
"상원어린이공원","공원","성동구 성수동 1가에 위치한 공원으로 어린이를 위한 놀이 시설물 등이 있다.","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",4,2,,127.046119,37.5475661,"상원어린이공원.jpg"
"열린무대","공원","광진구 능동에 위치한 어린이대공원 내의 야외 시설물로 정문 음악분수 광장에 자리한다. 부채꼴 모양의 야외 무대이며 여러 공연등이 상영되기도 한다.","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",,,,127.0768934,37.5488553,"열린무대.jpg"
"마장상상어린이공원","공원","도봉구에 위치한 공원으로 지역 주민과 어린이들의 의견을 반영해 낡은 놀이터를 상상력과 창의력의 공원으로 리모델링하였다.","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",2.7,3,,127.0402858,37.5621198,"마장상상어린이공원.jpg"
