Name,Function,Indoor/Outdoors,Details,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Score,NumOfReviews,Latitude,Longitude,Image
경복궁,고궁,Outdoor,"서울특별시에 있는 조선시대의 궁궐 중 하나이며, 조선의 정궁이기도 하다. 사적 제117호로 지정되어 있다. 서울특별시 종로구 사직로 161소재. 조선의 법궁이다.",9AM-6PM,Closed,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,4.6,"12,779",37.579617,126.974847,GyeongbokgungPalace.jpg
남산타워,타워,Indoor,"대한민국을 대표하는 명실상부한 랜드마크 중 하나. 서울의 대표적인 랜드마크 중 하나. 타워 자체의 높이는 236.7m로, 에펠탑이나 도쿄 타워 등 다른 랜드마크에 비하면 낮은 높이지만 남산의 해발고도까지 합하면 479.7m가 된다. 전망대는 CJ푸드빌에서, 지하 상업시설은 YTN에서 운영하고 있다.",10AM-11PM,10AM-11PM,10AM-11PM,10AM-11PM,10AM-11PM,10AM-12AM,10AM-11PM,4.4,"16,784",37.5511694,126.9860326,NSeoulTower.jpg
창덕궁,고궁,Outdoor,서울특별시에 있는 조선 - 대한제국시대 궁궐 중 하나. 1997년 유네스코 세계유산으로 등재되었다.,Closed,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,4.6,"3,657",37.5792907,126.9888087,Changdeokgung.jpg
북촌 한옥마을,문화유산보존지역,Outdoor,"서울특별시 종로구 가회동, 삼청동 내의 한옥 밀집지역을 칭한다.",9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-5PM,9AM-5PM,4.3,"4,848",37.5824075,126.9814591,BukchonHanokVillage.jpg
롯데월드,놀이공원,Outdoor,"서울특별시 송파구 올림픽로 240(잠실동)에 위치한 건물로, 테마파크, 백화점, 호텔, 면세점, 대형 할인점이 한 곳에 모여 있는 대단위 복합 생활공간(CLT:Complex Life Town)을 표방하고 있다.",9:30AM-10PM,9:30AM-10PM,9:30AM-10PM,9:30AM-10PM,9:30AM-11PM,9:30AM-11PM,Closed,4.2,"13,061",37.5112808,127.0969224,LotteWorld.jpg
남산공원,공원,Outdoor,서울특별시 중구와 용산구 사이에 있는 서울 시립공원. 예전에는 '한양공원(漢陽公園)으로 불렀으나 뒷날 지금의 이름으로 바뀌었다. 서울 남산을 중심으로 조성된 공원이며 가장 광활한 규모와 면적이다.,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.5,179,37.5509895,126.9887051,NamsanPark.jpg
남대문시장,시장,Outdoor,서울특별시 중구 회현동 숭례문 앞에 위치해 있는 서울특별시 도심 최대의 전문 재래시장. (품목별로 운영시간이 다름),0AM-11PM,0AM-11PM,0AM-11PM,0AM-11PM,0AM-11PM,0AM-11PM,0AM-11PM,4.1,"7,997",37.5591786,126.9754752,NamdaemunMarket.jpg
청계천,관광지,Outdoor,서울의 한복판인 종로구와 중구와의 경계를 흐르는 하천. 한성(서울)내의 모든 물이 여기에 모여 동쪽으로 흐르다가 왕십리 밖 살곶이다리(현 한양대 서울캠퍼스 인근) 근처에서 중랑천과 합쳐 서쪽으로 흐름을 바꾸어 한강으로 빠진다.,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.1,"1,301",37.5713521,127.0224388,Cheonggyecheon.jpg
덕수궁,고궁,Outdoor,서울특별시 중구 세종대로 99(정동 5-1) 서울특별시청 건너편에 있는 조선 시대에 지어진 궁궐.,Closed,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,4.4,"5,077",37.5664117,126.9701883,Deoksugung.jpg
동대문시장,시장,Outdoor,"종로 4가와 청계 4가에서 시작하여 흥인지문 인근까지 이어져 있는 재래시장과 쇼핑센터의 복합시장단지. 다른 말로 동대문종합시장, 동대문쇼핑타운, 동대문패션타운 등으로도 불린다.",9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,Closed,4,"1,276",37.5693936,127.0014781,DongdaemunMarket.jpg
광화문,문화유산보존지역,Outdoor,"조선 왕조의 정궁인 경복궁의 정문을 가리키는 말. 다만 일반 대중들에겐 정문을 지칭하는 것 외에도 '광화문' 자체가 세종대로, 광화문광장 등을 비롯한 일대를 통칭하는 지명으로 많이 쓰이고 있다. ",8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,8AM-5PM,4.5,"4,012",37.5759369,126.9746217,GwanghwamunGate.jpg
숭례문,문화유산보존지역,Outdoor,600년 동안 한양을 둘러싸고 있었던 한양도성의 남쪽에 위치한 문. 현재도 서울시의 중심에 위치하고 있다. 대한민국 국보 1호. 서울의 상징이나 다름 없는 건축물이다.,Closed,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,4.3,"2,606",37.5600716,126.9741131,SungnyemunGate.jpg
창경궁,고궁,Outdoor,조선 시대의 궁궐 중 하나. 일제강점기 및 해방 후 40여 년 동안 '창경원(昌慶苑)'이라는 이름으로 불렸으나 1986년 궁궐 복원에 따라 창경궁으로 환원되었다. 서울특별시 종로구 와룡동에 있다. 조선 시대에는 창덕궁과 연결되어 동궐로 불리면서 실질적으로 하나의 궁궐 역할을 했다.,Closed,9AM-5:30PM,9AM-5:30PM,9AM-5:30PM,9AM-5:30PM,9AM-5:30PM,9AM-5:30PM,4.5,879,37.5791008,126.9907223,ChanggyeonggungPalace.jpg
종묘,문화유산보존지역,Outdoor,조선 시대 역대 왕과 왕비 및 추존된 왕과 왕비의 신주(神主)를 모신 왕실의 유교 사당.  '종묘사직'이란 말에서 알 수 있듯 전제왕조 당시 왕실과 나라를 상징하는 건물 중 하나였다. ,9AM-5:30PM,Closed,9AM-5:30PM,9AM-5:30PM,9AM-5:30PM,9AM-5:30PM,9AM-5:30PM,4.5,237,37.574583,126.991949,JongmyoShrine.jpg
국립 민속박물관,박물관,Indoor,"고유한 민속 자료의 수집·보존·전시와 이와 연관된 체계적인 조사·연구를 위해 설립된 문화체육관광부 산하 국립 박물관이다. 서울특별시 종로구 삼청로 37번지에 위치한 경복궁 경내에 위치해 있다. 2017년 부터 국립 박물관 관람 규칙에 의거 1월 1일, 설 당일, 추석 당일 휴관한다. ",9AM-6:30PM,9AM-6:30PM,9AM-6:30PM,9AM-6:30PM,9AM-6:30PM,9AM-7PM,9AM-7PM,4.4,626,37.5816456,126.9768008,TheNationalFolkMuseumofKorea.jpg
청와대,정부청사,Indoor,서울 종로구에 있는 대한민국 대통령의 관저.(무조건 예약을 해야 입장할 수 있다),Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,3.4,455,37.5816452,126.9702079,BlueHouse.jpg
광화문 광장,대광장,Outdoor,서울특별시 종로구 광화문에서 세종로사거리와 청계광장으로 이어지는 세종로 중앙에 조성된 광장.,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.4,"1,927",37.5740339,126.974581,GwanghwamunSquare.jpg
북한산공원,국립공원,Outdoor,서울특별시와 경기도에 걸쳐 있는 산. '북한산'이란 이름은 조선 후기에 한강 이북에 있다고 하여 붙여진 이름이다.,4AM-5PM,4AM-5PM,4AM-5PM,4AM-5PM,4AM-5PM,4AM-5PM,4AM-5PM,4.5,401,37.6693702,126.9567363,BukhansanNationalPark.jpg
반포대교,다리,Outdoor,"서울특별시 용산구 서빙고동과 서초구 반포동을 잇는 길이 1,490m, 너비 25m의 6차선 다리이다. 한국 최초의 2층 교량으로, 1층은 홍수가 났을 때 물에 잠기도록 설계된 잠수교이고, 2층이 반포대교이다. ",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.3,346,37.5156865,126.9610508,BanpoBridge.jpg
동대문 디지털플라자,문화센터,Indoor,"끊임없이 새롭고, 쉴 새 없이 움직이는 곳 . 꿈꾸고(Dream), 만들고(Design), 누린다(Play)는 뜻을 가지고 있는 DDP(동대문 디자인 플라자)는 전시, 패션쇼, 포럼, 컨퍼런스 등 국내외 주요 행사들을 진행하고 있다. 건축물투어는 현장접수, 행사 일정, 키즈 프로그램 등은 사이트를 통해 확인하고 신청할 수 있다. ",Closed,10AM-7PM,10AM-7PM,10AM-7PM,10AM-9PM,10AM-9PM,10AM-7PM,4.3,"8,501",37.566725,127.007312,DongdaemunDesignPlaza.jpg
흥인지문,문화유산보존지역,Outdoor,"보물 제 1호, 서울특별시 종로구 종로6가에 있는 조선시대의 성문.",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.1,"1,075",37.5667246,127.0007191,Heunginjimun.jpg
국립중앙박물관,박물관,Indoor,"대한민국 최대 규모의 국립 박물관. 국립중앙박물관은 박물관 일반의 사업 외에 다음 각 호의 업무를 수행한다.
- 국내외 문화재의 보존·관리
- 국내외 박물관자료의 체계적인 보존·관리
- 국내 다른 박물관에 대한 지도·지원 및 업무 협조
- 국내 박물관 협력망의 구성 및 운영
- 그 밖에 국가를 대표하는 박물관으로서의 기능 수행에 필요한 업무",10AM-6PM,10AM-6PM,10AM-9PM,10AM-6PM,10AM-6PM,10AM-9PM,10AM-7PM,4.6,"5,788",37.5238506,126.9782762,NationalMuseumofKorea.jpg
63빌딩,타워,Indoor,"현대식 63 층 타워. IMAX 영화관, 수족관 및 서울 도시 전경을 볼 수 있는하늘 갑판 등이있다.",10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,10AM-10PM,4.1,"2,605",37.5193776,126.9380163,63Building.jpg
서울대공원,놀이공원,Outdoor,"미술관 및 테마파크로 1995년 현재 동물원에는 총 366종 3,048수의 동물이 세계지도 모형으로 배치된 아프리카관 ·유라시아관 ·남북미관 ·호주관 등 75개 사육사에서 사육되고 있다. 식물원에는 총 1,144종 3만 6610본의 열대 ·아열대식물이 2,825㎡ 넓이의 열대 ·아열대관, 선인장 및 다육식물관, 난 ·양치류관 등에 수집되어 있다. 부대시설로는 청소년 문화시설 ·시민이용 위락시설 ·자연공원 ·호수 ·관리시설 등이 있고, 그 밖에도 민속놀이터 ·잔디운동장 ·전망대 ·어린이놀이터 ·음악당 등과 동물 ·식물연구소가 있다. 이 가운데 동 ·식물원과 부대시설은 시비로, 문화시설 및 위락시설은 민자를 유치해서 운영하고 있다. 이 밖에도 호수변을 순회하는 무궤도열차가 운행되고 있다.",9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,4.3,"3,958",37.431624,127.0029734,SeoulGrandPark.jpg
전쟁기념박물관,박물관,Indoor,"전쟁에 관한 사적과 사건을 기념하기 위해 1991년에 착공하여 1994년 6월 개관한 기념관. 연건평 2만 5천 평에 지하 2층, 지상 4층 규모이며, 호국추모실·전쟁역사실·한국전쟁실·해외파병실·국군발전실·대형장비실 등 6개 전시실로 구분되어 있다.",Closed,9:30AM-6PM,9:30AM-6PM,9:30AM-6PM,9:30AM-6PM,9:30AM-6PM,9:30AM-6PM,4.5,"6,163",37.5366059,126.9749457,WarMemorialofKorea.jpg
서울숲,공원,Outdoor,뉴욕의 센트럴 파크나 런던의 하이드 파크 등을 본따 조성한 서울 도심 속의 녹지. 약 35만 평의 부지에 약 2352억 원의 사업비를 들여 테마공원 다섯 곳과 기타 시설들을 만들고 2005년 6월에 개장하였다.,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.5,"1,814",37.5450111,127.0362841,SeoulForest.jpg
봉은사,불교사찰,Outdoor,"서울특별시 강남구 삼성동 봉은사로에 위치한 도심 속의 고찰(古刹). 대한불교 조계종 종파의 사찰이며, 신라 원성왕 때인 서기 794년에 창건되었다.",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.6,367,37.514852,127.0551826,Bongeunsa.jpg
조계사,불교사찰,Outdoor,"서울특별시 종로구에 위치한 사찰. 대한민국 불교의 1번지이자 대한불교 조계종의 총본산(總本山). 사찰 규모는 아담하지만, 한국불교 최대 종단의 본사(本寺)답게 경복궁 근정전에 맞먹는다는 크고 아름다운 대웅전이 있고, 입구에는 '大韓佛敎總本山曹溪寺(대한불교 총본산 조계사)' 현판이 걸린 거대한 일주문이 정문 역할을 한다. 경내에는 천연기념물 제9호인 백송(Pinus bungeana)이 자라고 있다. ",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.3,319,37.5743716,126.9804558,Jogyesa.jpg
올림픽공원,스포츠단지,Outdoor,"올림픽 공원은 체육공간, 문화예술공간, 역사와 교육의 장소, 휴식공간 등 다양한 용도를 갖춘 만능공원으로 자리매김하고 있다. 또한 백제 초기의 유적인 몽촌토성과 몽촌해자(인공호수)를 중심으로 43만평의 대지 위에 조성되어 있고, 세계적인 조각작품들, 기념조형물, 88놀이마당, 산책로, 올림픽스포츠센터 등이 들어서 있다. 이 외에도 각종 유료, 무료 공연이 수시 개최되고 있어 시민들을 위한 다목적 휴식공간의 역할을 담당하고 있다. 서울올림픽을 치른 수영장, 체조경기장, SK핸드볼경기장, 우리금융아트홀, 테니스장을 비롯, 벨로드롬등이 있다.",6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,6AM-10PM,4.6,854,37.5206868,127.1193001,OlympicPark.jpg
남한산성,역사유적지,Outdoor,"경기도 광주시 남한산성면 산성리에 있는 북한산성과 함께 수도 한양을 지키던 조선시대의 산성. 사적 제57호. 현재 남아있는 시설은 동·서·남문루와 장대·돈대·보 등의 방어시설과 비밀통로인 암문, 우물, 관아, 군사훈련시설 등이 있다.",9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,9AM-5PM,4.2,298,37.4790366,127.1843729,NamhansanseongWorldHeritageCentre.jpg
서울랜드,놀이공원,Outdoor,경기도 과천시 서울대공원 안에 있는 대단위 위락공간이다. 놀이·교양·편익·조경·휴양·운동·교통·관리시설 등 8개 부문에 걸쳐 250여 가지의 각종 시설을 갖추고 있다.,9:30AM-10PM,9:30AM-10PM,9:30AM-10PM,9:30AM-10PM,9:30AM-10PM,9:30AM-10PM,9:30AM-10PM,4.2,"3,128",37.4341563,127.0179327,SeoulLand.jpg
어린이대공원,놀이공원,Outdoor,"서울 광진구에 있는 어린이공원. 가족 단위 휴식공간으로, 공원 출입문은 정문, 동문, 서문, 남문, 북문, 후문, 능동문, 회관문, 구의문 등 9개가 있으며, 주요 시설로 동물나라, 놀이동산, 자연나라 등이 있다. ",5AM-10PM,5AM-10PM,5AM-10PM,5AM-10PM,5AM-10PM,5AM-10PM,5AM-10PM,4.4,"2,973",37.5483014,127.0699623,SeoulChildren'sGrandPark.jpg
인왕산,산,Outdoor,서울 종로구와 서대문구 홍제동(弘濟洞) 경계에 있는 산. no data,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.4,54,37.5849471,126.9417517,Inwangsan.jpg
경희궁,고궁,Outdoor,조선 후기 동안 정궁인 창덕궁에 이은 제2의 궁궐(이궁)로 양대 궁궐 체제의 한 축을 담당했다. 많은 왕들이 경희궁에서 적지 않은 시간 동안 거처하면서 창덕궁이 지닌 정궁으로서의 기능을 일정 부분 나눠서 수행했다. 조선시대에는 주로 창덕궁+창경궁을 지칭하는 '동궐'에 대비되는 이름인 '서궐'로 불리웠다.,Closed,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,4.2,274,37.5712378,126.9659748,Gyeonghuigung.jpg
월드컵공원,공원,Outdoor,"서울특별시 마포구 상암동과 성산동 일원에 2002 FIFA 월드컵 한국/일본을 기념하여 조성된 공원이다. 1978년부터 1993년까지 한강변의 쓰레기 매립장이었던 난지도 쓰레기 매집장이 폐쇄된 자리와 그 주변에 조성하였으며, 평화의 공원, 하늘공원, 노을공원, 난지천공원, 난지한강공원등 5개의 공원으로 이루어져 있다.",8:30AM-6PM,8:30AM-6PM,8:30AM-6PM,8:30AM-6PM,8:30AM-6PM,Closed,Closed,4.3,236,37.5639074,126.8951226,WorldCupPark.jpg
트릭아이뮤지엄,박물관,Indoor,"트릭아이뮤지엄은 관람객이 주인공이 되는 신개념의 문화,엔터테인먼트 공간으로 미술작품 전시관으로는 세계 최초로 작품에 AR(증강현실)기술을 적용해 관람객에게 더욱 놀라운 경험을제공하고 있습니다.  Trickeye 앱을 설치한 뒤, 작품과 적당한 거리를 두고 정해진 위치에서 찍으면 놀라운 AR효과가 나타나며, 사진뿐만 아니면, 동영상에도 효과적용이 가능합니다. 작품을 영상으로 찍으면 더 실감나고 놀라운 증강현실을 즐길 수 있습니다.",9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,4.2,"1,967",37.5535655,126.9195323,TrickeyeMuseumSeoul.jpg
국립고궁박물관,박물관,Indoor,"조선왕실의 문화재 및 궁중 유물을 전시·관리하고 있으며 궁중유물의 홍보 및 사회교육, 학술도서와 자료의 수집, 출판, 관리 업무도 담당한다. 박물관은 지상2층, 지하1층의 규모(연면적 18,284 ㎡)로 전시실(15개실), 수장고, 보존과학실 등의 시설이 있다. 전시실은 제왕기록실, 국가의례실, 궁궐건축실, 과학문화실, 왕실생활실, 탄생교육실, 왕실문예실, 대한제국실, 궁중회화실, 궁중음악실, 어가의장실, 자격루실 등으로 구성되어 궁중 유물을 전시하고 있다.",9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-6PM,9AM-7PM,9AM-7PM,4.4,"1,510",37.5765793,126.9729025,NationalPalaceMuseumofKorea.jpg
서울역사박물관,박물관,Indoor,"서울역사박물관은 조선시대부터 현재에 이르기까지의 서울의 역사와 문화를 정리하여 보여주는 서울도시역사박물관입니다. 도시 서울의 역사를 담은 세계에서 유일한 박물관으로 상설전시실, 기획전시실, 기증유물전시실, 교육실, 강당, 뮤지엄샵이 있으며 전통문화체험교실, 아이좋은 박물관 등 대상별 맞춤 교육프로그램과 음악회 등 다양한 문화프로그램을 운영하고 있습니다.",Closed,9AM-8PM,9AM-8PM,9AM-8PM,9AM-8PM,9AM-7PM,9AM-7PM,4.4,"1,376",37.5705077,126.9683159,SeoulMuseumofHistory.jpg
삼성 리움박물관,미술관,Indoor,1965년 삼성문화재단 설립 이후 소중한 문화 유산을 보전하고 대중에게 알리고자 노력해온 삼성미술관은 2004년 서울 한남동에 미술관 건물을 신축하면서 삼성미술관 Leeum을 개관했습니다. 수준 높은 소장품 전시 및 기획전시 개최 등 그간의 괄목할만한 활동과 성과로 지금 리움은 명실공히 한국을 대표하는 미술관으로 성장하였습니다.,Closed,10:30AM-6PM,10:30AM-6PM,10:30AM-6PM,10:30AM-6PM,10:30AM-6PM,10:30AM-6PM,4.4,849,37.538122,126.996385,"Leeum,SamsungMuseumofArt.jpg"
도봉산,산,Outdoor,"서울특별시 도봉구와 경기도 의정부시, 양주시 장흥면에 걸쳐 있는 해발 740m의 산.",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.5,92,37.7004617,126.9981318,Dobongsan.jpg
운현궁,고궁,Outdoor,"서울특별시 종로구에 있는 조선 후기 흥선대원군의 사가.  1977년 11월 22일 사적 제257호로 지정되었다. 흥선대원군의 둘째 아들인 고종(高宗:재위 1863∼1907)이 출생하여 12세에 왕위에 오르기 전까지 성장한 잠저(潛邸)이다. 철종(哲宗:재위 1849∼1863)의 뒤를 이어 고종이 즉위하자 생부(生父) 이하응(李昰應)은 흥선대원군이 되었고, 생모 민씨는 여흥부대부인(驪興府大夫人)의 봉작을 받았다. ",Closed,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,9AM-7PM,4.2,614,37.5760774,126.9852092,Unhyeongung.jpg
탑골공원,공원,Outdoor,사적 제354호로 지정되어 있는 탑골공원은 우리나라 최초의 도심 내 공원으로 1919년 3·1운동이 일어났던 곳이다. 고려시대 흥복사가 있던 자리에 1465년(세조 11년)에 원각사라는 절이 세워졌으나 연산군 때 폐사되었고 고종 34년에 영국인 브라운의 설계에 의해 공원으로 조성되었다.,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,3.6,710,37.5715621,126.986191,TapgolPark.jpg
여의도한강공원,공원,Outdoor,"여의도한강공원은 정치, 금융, 언론의 중심지인 여의도에 자리하고 지하철, 버스 등 대중교통으로 접근성이 좋아 직장인과 일반시민들이 즐겨찾는 명소이자 봄꽃축제, 세계불꽃축제, 각종 공연 및 마라톤행사 등 다양한 행사가 이어져 볼거리와 즐길거리가 풍부한 휴식공간입니다. 또한 밤섬, 여의도 샛강 등이 비교적 자연그대로 보존되어 있어 생태학습장 및 자연친화형 공원으로 조성되어 있습니다",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.5,"2,691",37.5284017,126.9321072,YeouidoHangangPark.jpg
명동성당,성당,Indoor,명동성당은 천주교 서울대교구의 주교좌 성당으로 한국 최초의 본당이자 한국 천주교를 대변하는 대성당이다. ,9:30AM-12PM,9:30AM-12PM,9:30AM-12PM,9:30AM-12PM,9:30AM-12PM,9:30AM-12PM,9:30AM-12PM,4.5,624,37.5630609,126.9842134,Myeongdong Cathedral.jpg
남산골한옥마을,문화유산보존지역,Outdoor,"서울특별시 중구 필동 일대의 한옥이 보존되어 있는 마을.  1989년 남산골의 제모습 찾기 사업에 의해 조성한 마을로 수도방위사령부 부지를 인수하여, 서울특별시 지정 민속자료 한옥 5개 동을 이전 복원하고 전통정원으로 꾸몄다. 1998년 4월 18일에 개관하였다.",Closed,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,9AM-9PM,4.2,"3,127",37.559315,126.992283,NamsangolHanokVillage.jpg
관악산,산,Outdoor,"서울특별시 관악구 신림동과 동작구 사당동, 경기도 안양시, 과천시의 경계에 있는 산이다. 높이는 632 m.",Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.5,117,37.4429367,126.9434499,Gwanaksan.jpg
경의선 숲길,공원,Outdoor,서울특별시 마포구 연남동에서 용산구 효창동까지 이어진 6.3km 길이의 공원. 옛 경의선(용산선) 폐철길을 공원으로 탈바꿈시킨 서울의 도시재생 프로젝트의 일환이다. 일부 구간에는 경의선 시절의 레일 및 건널목을 재현해 놓았다. 옛 폐차량을 체험 목적으로 전시한 곳도 있다.,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,4.3,118,37.5584769,126.9233815,GyeonguiLineForestPark.jpg
커피스미스 경리단길점,카페,Indoor,"푸드플라이, 넓은공간, 한가한, 쾌적한분위기, 분위기좋은, 데이트하기좋은, 점심",10AM-11PM,10AM-11PM,10AM-11PM,10AM-11PM,Open 24 hours,Open 24 hours,10AM-11PM,3.8,37,37.5393308,126.9878375,CoffeeSmithGyeongnidan-gil.jpg
영등포 타임스퀘어,쇼핑몰,Indoor,"새로운 도시형 엔터테인먼트 문화공간(UELC-Urban Entertailing Lifestyle Center)인 영등포 타임스퀘어는 100년의 역사를 가지고 있는 주식회사 경방에서 2006년부터 총 공사비 6,000억 원을 투자해 건설한 국내 최대 규모의 복합쇼핑몰입니다.",10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,10:30AM-10PM,4.2,"5,284",37.5171639,126.9009818,TimesSquareMall.jpg
문례동 예술촌,관광명소,Indoor,"서울특별시 영등포구에 위치한 예술관으로, 문래동 예술촌을 방문하면 예술인들의 갤러리와  작업실 및 다양한 벽화와 조형물들 뿐 아니라 철공소에서 열심히 작업하시는 분들도 볼 수 있다.",9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,4.1,19,37.5131769,126.897949,SeoulArtSpaceMullae.jpg
